,State,full,climate_policy_index,ren_share_22,state_ems_change_1621,State_Effective_Tax_Rate,Right_to_work,ind_elec_price,man_share,worker_pay.y,gdp_17_22,cnbc_rank,demshare,demshare_statesenate,demshare_statehouse,dem_governor,dem_statecontrol,subs_m,incent_gdp,corruption_rank,liberal,pro_environment,pro_welfare,pro_race,LCVavg,other_spend_budget,budget_gdp
437,PA,Pennsylvania,0.52491072,3.3,-2.053,0.11,1,24.07,7.695710034,64076.61493,2.4,15,0.505892053,0.44,0.502463054,1,0.5,450.739908,0.000583606,38,20.46884428,0.533220232,0.222925474,0.319624748,73,28.39852171,11.83605387
438,MA,Massachusetts,0.754680701,11,-12.44,0.12,1,49.99,9.642773757,85430.45021,14,15,0.671155495,0.9,0.83125,1,1,210.306525,0.000347984,23,26.58358741,0.585763514,0.245686865,0.29035167,68,43.53280272,10.36285383
439,ID,Idaho,0.128707428,12.1,11.886,0.11,0,19.67,11.35035481,64038.47084,25.7,26,0.341228571,0.2,0.157142857,0,0,22.491701,0.000245318,15,12.49919497,0.562173128,0.231252374,0.264192695,34.5,35.49115793,11.39266777
440,ME,Maine,0.600598157,29.7,-10.81,0.12,1,32.33,11.1011707,60448.89726,14.9,39,0.544646065,0.628571429,0.529801325,1,1,65.847345,0.000909324,21,22.18894992,0.590282917,0.240399539,0.271811808,50,36.12740188,13.76686289
441,OR,Oregon,0.687848302,18.8,2.317,0.11,1,19.96,10.39963144,72774.82964,12.9,21,0.58307157,0.566666667,0.583333333,1,1,1172.804994,0.004604501,1,22.02677354,0.579163671,0.233981293,0.302051609,84.5,58.08449139,19.76299634
442,FL,Florida,0.339399685,8.8,-5.239,0.09,0,26.84,5.05218982,61660.86646,20.1,8,0.483052453,0.3,0.3,0,0,1306.027888,0.001071894,32,17.38986658,0.575741112,0.271232651,0.338166328,50.5,25.85134575,7.321697189
443,NY,New York,0.694948106,7.1,-8.289,0.16,1,22.13,7.325765828,68111.90349,8.5,20,0.617168349,0.666666667,0.68,1,1,9845.224887,0.005582698,41,27.28226444,0.606758833,0.239969901,0.372098672,94,31.94444444,9.998813056
444,AZ,Arizona,0.314265679,16.2,-8.625,0.1,0,23.05,5.09264522,76183.07929,21.1,14,0.501568317,0.466666667,0.483333333,1,0.5,454.561758,0.001126619,14,16.78966655,0.572675049,0.244885617,0.301865892,30,40.31962884,13.93940713
445,RI,Rhode Island,0.611099248,14.6,10.982,0.11,1,52.64,10.84365455,66728.05224,5.8,45,0.605993599,0.842105263,0.866666667,1,1,104.548755,0.001681094,24,26.83844187,0.583699644,0.239521367,0.293906991,95,40.29907481,17.65879103
446,UT,Utah,0.361948218,16.1,5.485,0.12,0,20.04,8.657043005,62969.12568,24.3,9,0.393064225,0.206896552,0.186666667,0,0,521.432488,0.002437759,5,11.67467968,0.528880239,0.229153336,0.252328865,18.5,30.04671368,8.772194173
447,FL,Florida,0.339399685,8.8,-5.239,0.09,0,26.84,1.284944858,61660.86646,20.1,8,0.483052453,0.3,0.3,0,0,1306.027888,0.001071894,32,17.38986658,0.575741112,0.271232651,0.338166328,50.5,25.85134575,7.321697189
448,WI,Wisconsin,0.43024134,4.1,-3.3,0.11,0,24.88,24.13850939,62694.97699,4.3,33,0.503179523,0.303030303,0.353535354,1,0.5,448.399748,0.001335761,10,19.33653858,0.547334492,0.217414129,0.273797082,72.5,41.08567778,15.11856477
449,NC,North Carolina,0.625870668,9,-7.474,0.1,0,19.18,4.662628616,58104.25992,11.4,1,0.493158175,0.4,0.4,1,0.5,4708.252774,0.007730382,16,17.35499567,0.543512762,0.260586091,0.330378759,41.5,18.96821527,9.15706678
450,SD,South Dakota,0.226809348,76.5,2.379,0.08,0,23.56,5.620233578,54610.3391,6.5,34,0.365652201,0.114285714,0.1,0,0,86.342946,0.001571034,46,14.48838961,0.529352009,0.222519398,0.247762593,53,31.94226039,8.897475084
451,PA,Pennsylvania,0.52491072,3.3,-2.053,0.11,1,24.07,19.30061914,64076.61493,2.4,15,0.505892053,0.44,0.502463054,1,0.5,450.739908,0.000583606,38,20.46884428,0.533220232,0.222925474,0.319624748,73,28.39852171,11.83605387
