Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Income taxes,TA4,"615,949,953","7,470,605","444,240","6,323,049","3,985,931","126,315,948","9,122,905","12,344,697","2,997,021","4,174,534","5,522,370","20,256,919","3,447,778","3,176,180","31,673,308","12,932,158","5,473,073","6,068,526","7,248,274","5,902,877","2,933,175","14,192,499","26,479,909","13,573,398","18,639,011","3,230,769","9,589,128","2,594,794","3,698,917",X,"1,421,035","27,202,053","3,090,635","83,092,248","18,495,763","819,581","11,310,492","5,168,516","14,892,772","22,715,373","1,874,389","7,139,201","48,070","3,159,327",X,"7,364,099","1,510,192","21,014,676","846,835","3,113,533","11,859,170",X
     Individual income,T40,"472,878,131","5,910,871",X,"4,779,485","3,147,770","96,379,294","6,780,832","8,845,425","2,425,836","3,048,229",X,"16,633,022","3,099,978","2,141,870","21,811,151","11,701,567","4,635,011","4,507,007","6,037,886","4,678,963","2,481,964","12,149,229","21,908,953","11,516,497","13,978,913","2,412,412","8,677,784","2,286,844","3,005,952",X,"149,485","18,506,010","2,646,300","58,775,670","16,855,693","495,437","11,310,241","4,393,714","13,274,254","17,006,745","1,611,789","5,782,274",X,"2,926",X,"6,497,347","1,210,585","16,645,280","846,835","2,693,568","9,191,233",X
     Corporation net income,T41,"143,071,822","1,559,734","444,240","1,543,564","838,161","29,936,654","2,342,073","3,499,272","571,185","1,126,305","5,522,370","3,623,897","347,800","1,034,310","9,862,157","1,230,591","838,062","1,561,519","1,210,388","1,223,914","451,211","2,043,270","4,570,956","2,056,901","4,660,098","818,357","911,344","307,950","692,965",X,"1,271,550","8,696,043","444,335","24,316,578","1,640,070","324,144",251,"774,802","1,618,518","5,708,628","262,600","1,356,927","48,070","3,156,401",X,"866,752","299,607","4,369,396",X,"419,965","2,667,937",X
Other taxes,TA5,"56,127,884","111,783","2,296,473","190,828","245,911","2,209,603","345,959","472,128","268,476","499,532","4,436,231","196,004","150,215","8,983","662,392","1,680","117,208","71,322","226,936","842,005","82,138","761,359","1,359,720","443,315","628,331","49,934","20,602","289,045","28,764","1,045,732","205,865","1,356,210","5,419,010","7,280,351","129,955","3,167,768","60,964","2,003,628","316,439","2,337,278","89,011","196,677","6,693","416,630","9,520,235","140,026","136,686","669,746","2,470,901","867,314","118,416","1,155,472"
     Death and gift,T50,"8,088,117",X,X,0,X,348,0,"218,354",0,"94,517",X,0,"58,083",X,"576,037",108,"86,798",X,"70,629",0,"30,118","271,552","973,710",6,"267,444",0,0,X,X,X,0,"542,597",X,"2,185,203",9,X,34,0,"297,572","1,470,424","72,191",X,X,77,X,X,"18,629",0,"853,634",0,43,0
     Documentary and stock transfer,T51,"15,128,635","57,424",X,X,"73,715",X,X,"253,368","266,725","338,646","4,408,231",0,"92,132",X,"86,355",X,"30,410",X,"9,285",X,"52,020","219,433","386,010","406,915","268,839",X,"16,160",X,"24,673","119,199","205,865","813,613",X,"3,258,781","128,215",X,0,"30,836","1,532","803,893","16,820","196,677",185,"400,920",X,X,"108,290","560,314","1,381,691","12,706","98,757",X
Severance,T53,"26,666,241","54,359","2,296,473","18,526","98,360","135,200","345,959",X,X,X,"28,000",X,X,"5,887",X,"1,572",X,"71,322","147,022","842,005",X,X,X,"36,346","92,048","49,934",0,"281,651","4,091","79,953",X,X,"5,295,401",X,"1,731","3,167,768","60,930","1,834,786","16,627",X,X,X,"5,657",910,"9,520,235","139,327",X,"3,538","42,596","840,325","2,186","1,145,516"
"     Other taxes, NEC",T99,"6,244,891",0,X,"172,302","73,836","2,074,055",X,406,"1,751","66,369",0,"196,004",0,"3,096",X,0,0,X,0,X,0,"270,374",0,48,X,0,"4,442","7,394",0,"846,580",0,X,"123,609","1,836,367",0,0,0,"138,006",708,"62,961",0,0,851,"14,723",X,699,"9,767","105,894","192,980","14,283","17,430","9,956"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X - Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
