Full,Industry,Jobs
Michigan,"      Professional, scientific, and technical services",446745
Michigan,      Management of companies and enterprises,82941
Michigan,      Administrative and support and waste management and remediation services,365205
Michigan,      Educational services,102156
Michigan,      Health care and social assistance,670851
Michigan,"      Arts, entertainment, and recreation",105136
Michigan,      Accommodation and food services,387779
Michigan,      Other services (except government and government enterprises),333306
Michigan,    Government and government enterprises,597909
Minnesota,Employment by place of work,
Minnesota,Total employment (number of jobs),3844786
Minnesota,By industry,
Minnesota,  Farm employment,77286
Minnesota,"      Forestry, fishing, and related activities",14533
Minnesota,"      Mining, quarrying, and oil and gas extraction",9018
Minnesota,      Utilities,13379
Minnesota,      Construction,194757
Minnesota,      Manufacturing,337869
Minnesota,      Wholesale trade,143288
Minnesota,      Retail trade,352249
Minnesota,      Transportation and warehousing,180676
Minnesota,      Information,56775
Minnesota,      Finance and insurance,246485
Minnesota,      Real estate and rental and leasing,180445
Minnesota,"      Professional, scientific, and technical services",251191
Minnesota,      Management of companies and enterprises,93122
Minnesota,      Administrative and support and waste management and remediation services,170501
Minnesota,      Educational services,90674
Minnesota,      Health care and social assistance,512066
Minnesota,"      Arts, entertainment, and recreation",87031
Minnesota,      Accommodation and food services,227105
Minnesota,      Other services (except government and government enterprises),191625
Minnesota,    Government and government enterprises,414711
Mississippi,Employment by place of work,
Mississippi,Total employment (number of jobs),1674142
Mississippi,By industry,
Mississippi,  Farm employment,38095
Mississippi,"      Forestry, fishing, and related activities",14640
Mississippi,"      Mining, quarrying, and oil and gas extraction",9364
Mississippi,      Utilities,8337
Mississippi,      Construction,91886
Mississippi,      Manufacturing,154424
Mississippi,      Wholesale trade,41465
Mississippi,      Retail trade,175964
Mississippi,      Transportation and warehousing,90188
Mississippi,      Information,15172
Mississippi,      Finance and insurance,67628
Mississippi,      Real estate and rental and leasing,67266
Mississippi,"      Professional, scientific, and technical services",66578
Mississippi,      Management of companies and enterprises,13852
Mississippi,      Administrative and support and waste management and remediation services,112447
Mississippi,      Educational services,24174
Mississippi,      Health care and social assistance,162734
Mississippi,"      Arts, entertainment, and recreation",20234
Mississippi,      Accommodation and food services,137943
Mississippi,      Other services (except government and government enterprises),101546
Mississippi,    Government and government enterprises,260205
Missouri,Employment by place of work,
Missouri,Total employment (number of jobs),3934395
Missouri,By industry,
Missouri,  Farm employment,93207
Missouri,"      Forestry, fishing, and related activities",14994
Missouri,"      Mining, quarrying, and oil and gas extraction",7921
Missouri,      Utilities,12203
Missouri,      Construction,216462
Missouri,      Manufacturing,295203
Missouri,      Wholesale trade,138827
Missouri,      Retail trade,386934
Missouri,      Transportation and warehousing,189914
Missouri,      Information,59870
Missouri,      Finance and insurance,236768
