"Representative","State","Amount"
"Neal Richard E (D-MA)","Massachusetts","$10000"
"Panetta Jimmy (D-CA)","California","$10000"
"Rutherford John (R-FL)","Florida","$10000"
"Sewell Terri (D-AL)","Alabama","$10000"
"Stewart Chris (R-UT)","Utah","$10000"
"Loudermilk Barry (R-GA)","Georgia","$9800"
"Bean Aaron (R-FL)","Florida","$9611"
"McClintock Tom (R-CA)","California","$9600"
"Fulcher Russ (R-ID)","Idaho","$9500"
"Schultz Debbie Wasserman (D-FL)","Florida","$9350"
"Crawford Rick (R-AR)","Arkansas","$9000"
"Gottheimer Josh (D-NJ)","New Jersey","$9000"
"Morelle Joseph D (D-NY)","New York","$9000"
"Tiffany Tom (R-WI)","Wisconsin","$9000"
"Aguilar Pete (D-CA)","California","$8821"
"Porter Katie (D-CA)","California","$8795"
"Sherrill Mikie (D-NJ)","New Jersey","$8758"
"Scott David (D-GA)","Georgia","$8500"
"Burchett Tim (R-TN)","Tennessee","$8376"
"Rosendale Matt (R-MT)","Montana","$8184"
"Greene Marjorie Taylor (R-GA)","Georgia","$8083"
"Carbajal Salud (D-CA)","California","$7600"
"Buchanan Vernon (R-FL)","Florida","$7490"
"Crow Jason (D-CO)","Colorado","$7449"
"Foster Bill (D-IL)","Illinois","$7325"
"Ryan Pat (D-NY)","New York","$7305"
"Alford Mark (R-MO)","Missouri","$7300"
"Fitzgerald Scott (R-WI)","Wisconsin","$7250"
"Davidson Warren (R-OH)","Ohio","$7000"
"Diaz-Balart Mario (R-FL)","Florida","$7000"
"Owens Burgess (R-UT)","Utah","$6900"
"Mrvan Frank Jr (D-IN)","Indiana","$6832"
"Clark Katherine (D-MA)","Massachusetts","$6650"
"Kennedy Timothy (D-NY)","New York","$6600"
"Smith Chris (R-NJ)","New Jersey","$6600"
"Perez Marie Gluesenkamp (D-WA)","Washington","$6508"
"McClellan Jennifer (D-VA)","Virginia","$6505"
"Norcross Don (D-NJ)","New Jersey","$6400"
"Mast Brian (R-FL)","Florida","$6258"
"Brecheen Josh (R-OK)","Oklahoma","$6220"
"Ocasio-Cortez Alexandria (D-NY)","New York","$6160"
"Luetkemeyer Blaine (R-MO)","Missouri","$6000"
"Payne Donald M Jr (D-NJ)","New Jersey","$6000"
"Ramirez Delia (D-IL)","Illinois","$5800"
"Scott Austin (R-GA)","Georgia","$5750"
"Lee Laurel (R-FL)","Florida","$5611"
"Stanton Greg (D-AZ)","Arizona","$5575"
"Huizenga Bill (R-MI)","Michigan","$5535"
"Turner Michael R (R-OH)","Ohio","$5400"
"Budzinski Nikki (D-IL)","Illinois","$5250"
"Houlahan Chrissy (D-PA)","Pennsylvania","$5233"
"Kelly Robin (D-IL)","Illinois","$5050"
"Bishop Sanford (D-GA)","Georgia","$5018"
"Matsui Doris (D-CA)","California","$5015"
"Meeks Gregory (D-NY)","New York","$5000"
"Van Drew Jeff (R-NJ)","New Jersey","$4990"
"Bonamici Suzanne (D-OR)","Oregon","$4550"
"Steube Greg (R-FL)","Florida","$4500"
"Levin Mike (D-CA)","California","$4250"
"Spanberger Abigail (D-VA)","Virginia","$4144"
"Nickel Wiley (D-NC)","North Carolina","$4035"
"Larson John (D-CT)","Connecticut","$4000"
"McBath Lucy (D-GA)","Georgia","$3900"
"Goldman Dan (D-NY)","New York","$3885"
"Wild Susan (D-PA)","Pennsylvania","$3548"
"Davis Don (D-NC)","North Carolina","$3534"
"Amodei Mark (R-NV)","Nevada","$3500"
"Higgins Brian M (D-NY)","New York","$3500"
"Rogers Hal (R-KY)","Kentucky","$3500"
"Sykes Emilia (D-OH)","Ohio","$3431"
"Wexton Jennifer (D-VA)","Virginia","$3400"
"Frost Maxwell (D-FL)","Florida","$3353"
"Garamendi John (D-CA)","California","$3350"
"Manning Kathy (D-NC)","North Carolina","$3335"
"Rochester Lisa Blunt (D-DE)","Delaware","$3330"
"Torres Ritchie (D-NY)","New York","$3317"
"Garcia Robert (D-CA)","California","$3310"
"Self Keith (R-TX)","Texas","$3125"
"Cartwright Matt (D-PA)","Pennsylvania","$3035"
"Rose John (R-TN)","Tennessee","$3026"
"Kildee Dan (D-MI)","Michigan","$3002"
"Pappas Chris (D-NH)","New Hampshire","$3002"
"Dunn Neal (R-FL)","Florida","$3000"
"Ivey Glenn (D-MD)","Maryland","$3000"
"LaMalfa Doug (R-CA)","California","$3000"
"Nadler Jerrold (D-NY)","New York","$2924"
"Beyer Don (D-VA)","Virginia","$2900"
"Lee Barbara (D-CA)","California","$2725"
"Pelosi Nancy (D-CA)","California","$2564"
"Johnson Hank (D-GA)","Georgia","$2520"
"Titus Dina (D-NV)","Nevada","$2502"
"Barragan Nanette (D-CA)","California","$2500"
"Davis Danny K (D-IL)","Illinois","$2500"
"Desjarlais Scott (R-TN)","Tennessee","$2500"
"Grothman Glenn (R-WI)","Wisconsin","$2500"
"Jackson Jonathan (D-IL)","Illinois","$2500"
"Moore Barry (R-AL)","Alabama","$2500"
"Quigley Mike (D-IL)","Illinois","$2500"
"Scott Bobby (D-VA)","Virginia","$2500"
"Sherman Brad (D-CA)","California","$2500"
"Lee Summer (D-PA)","Pennsylvania","$2429"
"Raskin Jamie (D-MD)","Maryland","$2180"
"Crockett Jasmine (D-TX)","Texas","$2142"
"Peters Scott (D-CA)","California","$2100"
"Salinas Andrea (D-OR)","Oregon","$2076"
"Burlison Eric (R-MO)","Missouri","$2000"
"Connolly Gerry (D-VA)","Virginia","$2000"
"Sanchez Linda (D-CA)","California","$2000"
"Tokuda Jill (D-HI)","Hawaii","$2000"
"Deluzio Christopher (D-PA)","Pennsylvania","$1885"
"Ross Deborah (D-NC)","North Carolina","$1750"
"Gosar Paul (R-AZ)","Arizona","$1500"
"Lamborn Doug (R-CO)","Colorado","$1500"
"Smith Adam (D-WA)","Washington","$1500"
"Bowman Jamaal (D-NY)","New York","$1462"
"Swalwell Eric (D-CA)","California","$1425"
"Phillips Dean (D-MN)","Minnesota","$1419"
"Underwood Lauren A (D-IL)","Illinois","$1280"
"Harris Andy (R-MD)","Maryland","$1250"
"Soto Darren (D-FL)","Florida","$1250"
"Fernandez Teresa Leger (D-NM)","New Mexico","$1227"
"Cleaver Emanuel (D-MO)","Missouri","$1195"
"Miller Mary (R-IL)","Illinois","$1145"
"Waltz Michael (R-FL)","Florida","$1100"
"Sorensen Eric (D-IL)","Illinois","$1022"
"Scanlon Mary Gay (D-PA)","Pennsylvania","$1020"
"Ruiz Raul (D-CA)","California","$1005"
"Amo Gabe (D-RI)","Rhode Island","$1000"
